Profile_Name,Country_Iso_Code,Device,Is_Kids,Query_Typed,Displayed_Name,Action,Section,Utc_Timestamp
User 4,AE,Device 0,0,,Lucifer: Season 4:Everything's Okay,play,prequery_results,03-06-2022 17:15
User 4,AE,Device 0,0,,,select,prequery_results,03-06-2022 17:15
User 4,AE,Device 0,0,,Lucifer: Season 4:Everything's Okay,play,prequery_results,03-06-2022 16:47
User 4,AE,Device 0,0,,,select,prequery_results,03-06-2022 16:47
User 4,AE,Device 0,0,,Lucifer: Season 3:Let Pinhead Sing!,play,prequery_results,03-06-2022 13:59
User 4,AE,Device 0,0,,,select,prequery_results,03-06-2022 13:59
User 4,AE,Device 0,0,,,select,prequery_results,03-06-2022 13:59
User 4,AE,Device 0,0,,,select,prequery_results,03-06-2022 13:27
User 4,AE,Device 0,0,,,select,prequery_results,03-06-2022 13:27
User 4,AE,Device 0,0,,,select,prequery_results,03-06-2022 13:26
User 4,FR,Device 0,0,,,select,prequery_results,03-06-2022 13:26
User 4,FR,Device 0,0,,A Perfect Pairing,select,prequery_results,03-06-2022 13:26
User 4,FR,Device 0,0,,,select,prequery_results,03-06-2022 13:26
User 4,AE,Device 0,0,jana ,Jana 2022 (Kannada),select,title_results,02-06-2022 08:55
User 4,AE,Device 0,0,jana ,Jana Gana Mana,select,title_results,02-06-2022 08:55
User 4,AE,Device 0,0,o,The Originals: Season 1:Reigning Pain in New Orleans,play,title_results,29-05-2022 12:27
User 4,AE,Device 0,0,o,,select,title_results,29-05-2022 12:27
User 4,AE,Device 0,0,ori,The Originals: Season 1:The River in Reverse,play,title_results,29-05-2022 10:35
User 4,AE,Device 0,0,ori,,select,title_results,29-05-2022 10:35
User 4,AE,Device 0,0,the ori,The Originals: Season 1:Bloodletting,play,title_results,29-05-2022 04:36
User 4,AE,Device 0,0,the ori,,select,title_results,29-05-2022 04:36
User 4,AE,Device 0,0,thr o,The Originals: Season 1:Fruit of the Poisoned Tree,play,title_results,29-05-2022 03:17
User 4,AE,Device 0,0,thr o,,select,title_results,29-05-2022 03:17
User 4,AE,Device 0,0,or,The Originals: Season 1:Always and Forever,play,title_results,28-05-2022 13:15
User 4,AE,Device 0,0,or,,select,title_results,28-05-2022 13:15
User 4,CA,Device 0,0,stra,Stranger Things 4:Chapter Three: The Monster and the Superhero,play,title_results,27-05-2022 20:01
User 4,CA,Device 0,0,stra,Stranger Things 4:Chapter Three: The Monster and the Superhero,play,title_results,27-05-2022 20:01
User 4,CA,Device 0,0,stra,,select,title_results,27-05-2022 20:01
User 4,CA,Device 0,0,stra,,select,title_results,27-05-2022 20:01
User 4,AE,Device 0,0,,,select,prequery_results,26-05-2022 05:06
User 4,AE,Device 0,0,,,select,prequery_results,26-05-2022 05:06
User 4,AE,Device 0,0,,,select,prequery_results,26-05-2022 05:06
User 4,AE,Device 0,0,nawa,Class of '83,select,title_results,25-05-2022 16:43
User 4,AE,Device 0,0,nawa,Haseen Dillruba,select,title_results,25-05-2022 16:43
User 4,AE,Device 0,0,,Ala Vaikunthapurramuloo,select,prequery_results,25-05-2022 16:43
User 4,AE,Device 0,0,rrr ta,Maha Samudram (Tamil),select,title_results,25-05-2022 13:55
User 4,AE,Device 0,0,,The Roommate,select,prequery_results,25-05-2022 13:52
User 4,AE,Device 0,0,,The Devil All The Time,select,prequery_results,25-05-2022 13:51
User 4,IN,Device 2,0,don,Don't Look Up,play,title_results,24-05-2022 08:04
User 4,IN,Device 2,0,don,Don't Look Up,select,title_results,24-05-2022 08:04
User 4,AE,Device 0,0,takerz,Street Kings,play,title_results,18-05-2022 13:35
User 4,AE,Device 0,0,takerz,Street Kings,select,title_results,18-05-2022 13:35
User 4,AE,Device 0,0,takerz,Blue Streak,select,title_results,18-05-2022 13:34
User 4,AE,Device 0,0,takerz,Takers,play,title_results,18-05-2022 13:25
User 4,AE,Device 0,0,takerz,Takers,select,title_results,18-05-2022 13:24
User 4,AE,Device 0,0,,Suits: Season 8:Rocky 8,play,prequery_results,11-05-2022 16:43
User 4,AE,Device 0,0,,,select,prequery_results,11-05-2022 16:43
User 4,AE,Device 0,0,,,select,prequery_results,11-05-2022 16:42
User 4,IN,Device 3,0,365,365 Days,play,title_results,10-05-2022 17:35
User 4,IN,Device 3,0,365,365 Days,add,title_results,10-05-2022 17:34
User 4,IN,Device 3,0,365,365 Days,select,title_results,10-05-2022 17:34
User 4,IN,Device 3,0,365,Gangubai Kathiawadi,add,title_results,10-05-2022 17:34
User 4,IN,Device 3,0,365,Gangubai Kathiawadi,select,title_results,10-05-2022 17:34
User 4,AE,Device 0,0,,The Blacklist: Season 6:Rassvet,play,prequery_results,08-05-2022 11:49
User 4,AE,Device 0,0,,,select,prequery_results,08-05-2022 11:49
User 4,AE,Device 0,0,,The Blacklist: Season 6:Rassvet,play,prequery_results,08-05-2022 09:05
User 4,AE,Device 0,0,,,select,prequery_results,08-05-2022 09:05
User 4,AE,Device 0,0,,The Blacklist: Season 6:Olivia Olson (No. 115),play,prequery_results,08-05-2022 02:32
User 4,AE,Device 0,0,,,select,prequery_results,08-05-2022 02:32
User 4,AE,Device 0,0,,,select,prequery_results,07-05-2022 09:27
User 4,AE,Device 0,0,,The Blacklist: Season 6:Marko Jankowics (No. 58),play,prequery_results,07-05-2022 08:55
User 4,AE,Device 0,0,,,select,prequery_results,07-05-2022 08:55
User 4,AE,Device 0,0,,,select,prequery_results,07-05-2022 08:01
User 4,AE,Device 0,0,,,select,prequery_results,07-05-2022 08:01
User 4,AE,Device 0,0,,The Blacklist: Season 6:General Shiro (No. 116),play,prequery_results,07-05-2022 07:44
User 4,AE,Device 0,0,,,select,prequery_results,07-05-2022 07:44
User 4,AE,Device 0,0,,The Blacklist: Season 6:The Ethicist (No. 91),play,prequery_results,07-05-2022 06:42
User 4,AE,Device 0,0,,,select,prequery_results,07-05-2022 06:42
User 4,FR,Device 0,0,,The Blacklist: Season 6:The Ethicist (No. 91),play,prequery_results,07-05-2022 05:57
User 4,FR,Device 0,0,,,select,prequery_results,07-05-2022 05:57
User 4,AE,Device 0,0,,Dasvi,select,prequery_results,07-05-2022 05:57
User 4,AE,Device 0,0,,,select,prequery_results,07-05-2022 05:57
User 4,AE,Device 0,0,,The Blacklist: Season 6:Alter Ego (No. 131),play,prequery_results,07-05-2022 05:32
User 4,AE,Device 0,0,,,select,prequery_results,07-05-2022 05:32
User 4,AE,Device 0,0,,The Blacklist: Season 6:Dr. Hans Koehler (No. 33),play,prequery_results,06-05-2022 13:02
User 4,AE,Device 0,0,,,select,prequery_results,06-05-2022 13:01
User 4,AE,Device 0,0,,The Blacklist: Season 5:The Killgannon Corporation (No. 48),play,prequery_results,05-05-2022 03:11
User 4,AE,Device 0,0,,,select,prequery_results,05-05-2022 03:11
User 4,AE,Device 0,0,,The Blacklist: Season 5:The Killgannon Corporation (No. 48),play,prequery_results,04-05-2022 19:55
User 4,AE,Device 0,0,,,select,prequery_results,04-05-2022 19:55
User 4,AE,Device 0,0,,The Blacklist: Season 5:The Travel Agency (No. 90),play,prequery_results,04-05-2022 07:26
User 4,AE,Device 0,0,,,select,prequery_results,04-05-2022 07:26
User 4,AE,Device 0,0,,The Blacklist: Season 5:Ilyas Surkov (No. 54),play,prequery_results,04-05-2022 07:13
User 4,AE,Device 0,0,,,select,prequery_results,04-05-2022 07:13
User 4,AE,Device 0,0,,The Blacklist: Season 4:Mr. Kaplan (No. 4): Conclusion,play,prequery_results,03-05-2022 17:27
User 4,AE,Device 0,0,,,select,prequery_results,03-05-2022 17:27
User 4,AE,Device 0,0,bl,The Blacklist: Season 4:Dr. Bogdan Krilov (No. 29),play,title_results,03-05-2022 05:16
User 4,AE,Device 0,0,bl,The Blacklist: Season 4:Dr. Bogdan Krilov (No. 29),play,title_results,03-05-2022 05:13
User 4,AE,Device 0,0,bl,,select,title_results,03-05-2022 05:13
User 4,AE,Device 0,0,bl,The Blacklist: Season 4:The Thrushes (No. 53),play,title_results,29-04-2022 18:54
User 4,AE,Device 0,0,bl,,select,title_results,29-04-2022 18:54
User 4,AE,Device 0,0,,The Blacklist: Season 3:Alexander Kirk (No. 14),play,prequery_results,29-04-2022 07:24
User 4,AE,Device 0,0,,,select,prequery_results,29-04-2022 07:24
User 4,AE,Device 0,0,,,select,prequery_results,29-04-2022 07:23
User 4,AE,Device 0,0,,,select,prequery_results,29-04-2022 07:23
User 4,AE,Device 0,0,,,select,prequery_results,29-04-2022 07:23
User 4,AE,Device 0,0,,,select,prequery_results,29-04-2022 07:04
User 4,AE,Device 0,0,,The Blacklist: Season 3:Kings Of The Highway (No. 108),play,prequery_results,27-04-2022 18:33
User 4,AE,Device 0,0,,,select,prequery_results,27-04-2022 18:33
User 4,AE,Device 0,0,,The Blacklist: Season 3:Sir Crispin Crandall (No. 86),play,prequery_results,27-04-2022 16:43
User 4,AE,Device 0,0,,,select,prequery_results,27-04-2022 16:43
User 4,AE,Device 0,0,,The Blacklist: Season 2:Tom Connolly (No. 11),play,prequery_results,27-04-2022 03:15
User 4,AE,Device 0,0,,,select,prequery_results,27-04-2022 03:15
User 4,AE,Device 0,0,,The Blacklist: Season 2:Tom Connolly (No. 11),play,prequery_results,26-04-2022 20:02
User 4,AE,Device 0,0,,,select,prequery_results,26-04-2022 20:02
User 4,AE,Device 0,0,,The Blacklist: Season 2:Vanessa Cruz (No. 117),play,prequery_results,26-04-2022 16:15
User 4,AE,Device 0,0,,,select,prequery_results,26-04-2022 16:15
User 4,AE,Device 0,0,,The Blacklist: Season 2:Tom Keen (No. 7),play,prequery_results,26-04-2022 15:22
User 4,AE,Device 0,0,,,select,prequery_results,26-04-2022 15:22
User 4,CA,Device 0,0,,The Blacklist: Season 2:Ruslan Denisov (No. 67),play,prequery_results,24-04-2022 19:04
User 4,CA,Device 0,0,,,select,prequery_results,24-04-2022 19:04
User 4,AE,Device 0,0,,The Blacklist: Season 2:Dr. Linus Creel (No. 82),play,prequery_results,23-04-2022 20:09
User 4,AE,Device 0,0,,,select,prequery_results,23-04-2022 20:09
User 4,FR,Device 0,0,,The Blacklist: Season 2:Dr. James Covington (No. 89),play,prequery_results,23-04-2022 15:56
User 4,FR,Device 0,0,,,select,prequery_results,23-04-2022 15:56
User 4,AE,Device 0,0,,The Blacklist: Season 2:Dr. James Covington (No. 89),play,prequery_results,23-04-2022 15:32
User 4,AE,Device 0,0,,,select,prequery_results,23-04-2022 15:32
User 4,AE,Device 0,0,bl,The Blacklist: Season 1:Wujing (No. 84),play,title_results,21-04-2022 19:10
User 4,AE,Device 0,0,bl,,select,title_results,21-04-2022 19:09
User 4,AE,Device 0,0,bl,The Blacklist: Season 1:Pilot,play,title_results,21-04-2022 17:15
User 4,AE,Device 0,0,bl,,select,title_results,21-04-2022 17:14
User 4,AE,Device 0,0,bl,The Blacklist: Season 1:Pilot,play,title_results,21-04-2022 17:07
User 4,AE,Device 0,0,bl,,select,title_results,21-04-2022 17:07
User 4,AE,Device 0,0,,Better Call Saul: Season 1:Nacho,play,prequery_results,20-04-2022 17:33
User 4,AE,Device 0,0,,,select,prequery_results,20-04-2022 17:33
User 4,AE,Device 0,0,fleab,,select,title_results,16-04-2022 14:43
User 4,AE,Device 0,0,fleab,Ex Machina,select,title_results,16-04-2022 14:43
User 4,AE,Device 0,0,fleab,The Ninth Gate,select,title_results,16-04-2022 14:43
User 4,AE,Device 0,0,olym,Angel Has Fallen,select,title_results,15-04-2022 11:56
User 4,AE,Device 0,0,linc,The Net,select,title_results,15-04-2022 11:55
User 4,AE,Device 0,0,linc,,select,title_results,15-04-2022 11:55
User 4,AE,Device 0,0,,The Indian Detective: Season 1:Episode 4,play,prequery_results,15-04-2022 11:52
User 4,AE,Device 0,0,,,select,prequery_results,15-04-2022 11:52
User 4,AE,Device 0,0,linc,The Ninth Gate,select,title_results,14-04-2022 13:32
User 4,AE,Device 0,0,linc,,select,title_results,14-04-2022 13:32
User 4,AE,Device 0,0,linc,The Dark Tower,select,title_results,14-04-2022 11:54
User 4,AE,Device 0,0,linc,Fracture,select,title_results,14-04-2022 11:54
User 4,AE,Device 0,0,,Brooklyn Nine-Nine: Season 6:Sicko,play,prequery_results,12-04-2022 22:02
User 4,AE,Device 0,0,,,select,prequery_results,12-04-2022 22:02
User 4,AE,Device 0,0,,Brooklyn Nine-Nine: Season 6:Return of the King,play,prequery_results,12-04-2022 15:11
User 4,AE,Device 0,0,,,select,prequery_results,12-04-2022 15:11
User 4,CA,Device 0,0,,Brooklyn Nine-Nine: Season 6:Return of the King,play,prequery_results,12-04-2022 14:45
User 4,CA,Device 0,0,,,select,prequery_results,12-04-2022 14:45
User 4,AE,Device 0,0,,Brooklyn Nine-Nine: Season 6:Ticking Clocks,play,prequery_results,12-04-2022 14:12
User 4,AE,Device 0,0,,,select,prequery_results,12-04-2022 14:12
User 4,AE,Device 0,0,,Brooklyn Nine-Nine: Season 5:Jake & Amy,play,prequery_results,11-04-2022 18:37
User 4,AE,Device 0,0,,,select,prequery_results,11-04-2022 18:37
